tipo,numero,ano
PL,846,2015
MPV,671,2015
PL,863,2015
PEC,11,2015
MPV,672,2015
MPV,675,2015
PEC,171,1993
MPV,676,2015
PL,2016,2015
PL,2020,2015
MPV,678,2015
MPV,679,2015
PEC,74,2015
PLP,124,2015
MPV,681,2015
MPV,682,2015
MPV,685,2015
MPV,687,2015
MPV,688,2015
PL,2750,2015
MPV,691,2015
PL,2960,2015
MPV,692,2015
MPV,693,2015
MPV,694,2015
MPV,695,2015
MPV,696,2015
PL,2479,2000
PL,2505,2000
MPV,698,2015
MPV,701,2015
MPV,702,2015
MPV,710,2016
PDC,315,2016
PRC,134,2016
PL,4330,2004
PEC,457,2005
PEC,471,2005
PEC,590,2006
PL,7699,2006
PRC,8,2007
PL,789,2007
PL,1057,2007
PL,2211,2007
PL,3131,2008
PL,4148,2008
PEC,443,2009
PL,3481,2012
PL,3771,2012
PLP,177,2012
PL,5735,2013
PDC,1287,2013
PL,6446,2013
PEC,352,2013
PEC,358,2013
PLP,366,2013
PEC,395,2014
PL,7469,2014
PL,7735,2014
PL,7924,2014
MPV,660,2014
MPV,661,2014
MPV,663,2014
MPV,664,2014
MPV,665,2014
PL,10,2015
MPV,668,2015
PEC,1,2015
PLP,13,2015
PRC,11,2015
MPV,670,2015
